year,LootBox,Pay to Win,Cosmetic
28/05/2013,46.86165051,11.63036535,60.11448159
04/06/2013,47.48105356,14.79296789,61.4430843
11/06/2013,48.43611683,13.542555,61.04255695
18/06/2013,48.05318136,13.63432782,60.82634417
25/06/2013,45.22006915,13.59904588,60.28438997
02/07/2013,45.90890754,13.36977068,61.12906785
09/07/2013,42.63246207,12.89157979,59.60345748
16/07/2013,41.30587482,12.27548319,58.37302989
23/07/2013,46.13768465,10.67894338,61.97879903
30/07/2013,48.07686222,13.08072048,66.44140464
06/08/2013,48.20215609,14.08115032,68.3699696
13/08/2013,49.66434253,14.79261372,70.15725333
20/08/2013,50.36625576,17.37127022,71.28404749
27/08/2013,48.89888781,17.75519649,69.17026604
03/09/2013,51.26853021,15.16088357,68.29821069
10/09/2013,51.76869152,14.30715793,67.5352899
17/09/2013,54.50212029,12.88902623,67.92312805
24/09/2013,54.38146649,11.81986367,66.42942283
01/10/2013,51.20108815,10.38350642,65.06224417
08/10/2013,53.6792664,10.06192245,66.94157588
15/10/2013,54.33205918,9.752116293,67.38424141
22/10/2013,55.04339191,10.33770493,67.91653286
29/10/2013,52.2936814,12.2895917,65.9054019
05/11/2013,51.69292701,13.09009234,65.54420808
12/11/2013,51.82745438,12.39912259,66.06124766
19/11/2013,52.983519,12.30784177,66.43174919
26/11/2013,48.29691236,12.27192708,61.57357491
03/12/2013,47.25290984,11.66310094,59.94177064
10/12/2013,52.04830432,11.03962186,62.92907489
17/12/2013,52.65849801,11.91670291,63.84998604
24/12/2013,44.68552092,12.25183562,58.10736656
31/12/2013,45.52791503,12.95186855,59.61409638
01/01/2014,47.36537867,12.44989181,60.71364453
08/01/2014,51.93076005,11.49589163,63.20491905
15/01/2014,52.13863589,13.6072519,64.40332004
22/01/2014,52.43257953,13.18839279,63.52085632
29/01/2014,54.92697035,13.71582783,65.5103021
05/02/2014,56.44718894,14.09261141,67.51455033
12/02/2014,54.67492788,14.90386864,66.05541611
19/02/2014,53.57859015,16.07014254,65.66736394
26/02/2014,54.3131486,15.46482892,66.89705265
05/03/2014,55.96483808,14.33700512,67.0867792
12/03/2014,57.56420381,12.29309414,67.34304434
19/03/2014,55.46525026,11.95760276,66.32541271
26/03/2014,55.15966771,12.5502505,66.36080643
02/04/2014,55.98882837,11.95717174,65.77878284
09/04/2014,56.86327362,12.28706775,66.05805248
16/04/2014,55.75771785,12.68076738,65.11656313
23/04/2014,54.78132825,11.91843417,63.89589855
30/04/2014,54.96505177,11.90272295,64.04678415
07/05/2014,56.42408033,11.24938173,65.00151076
14/05/2014,57.5028629,12.21813099,66.22672636
21/05/2014,56.36513486,12.28050284,65.3568908
28/05/2014,54.4585617,13.22910276,66.08391556
